VA310|Introduction to Multimedia
VA311|Art and Design Practices in the City
VA312|History of Visual Communication
VA315|Visual Culture|7|3
VA323|Figure Drawing
VA324|Advanced Drawing
VA325|Interface Design
VA328|Digital and Photographic Imaging
VA329|Photography and Expression
VA331|Illustration as Communication
VA333|Content Creation and Design for Websites
VA335|Sound and Image
VA345|Creative Coding
VA399|Independent Study
VA401|Art Studio III|7|4
VA402|Art Studio IV|7|4
VA403|Design Studio III|7|4
VA404|Design Studio IV|7|4
VA420|Concepts & Debates in Contemporary Art
VA423|Art, Culture, Technology
VA424|Advanced Topics in Typography
VA430|Art Analysis: Theory and Criticism
VA431|Videography and Narrative Making
VA433|3D Modelling
VA434|3D Animation
VA437|Experimental Film and Video
VA439|Envisioning Information
VA440|Motion Graphics and Art
VA450|Construction/Deconstruction in 3 Dimensional Space
VA453|Design Thinking
VA465|Artificial Intelligence & Creativity
VA490|Professional Practice as a Designer
XM490|Project Course for External Students|6|0
